Log10scanRate,Log10kf,Log10keq,peak flux,half peak potential,half peak transfer coefficient
-3.0,4.800000000000001,-7.8326826652518236,-0.0851113696915637,-7.535000000000168,-0.16031853014916728
-3.0,5.800000000000001,-7.8326826652518236,-0.12764577915222314,-9.535000000000398,-0.12936752445460928
-3.0,-2.0,-7.667561540084395,-0.004783476826169597,-0.02500000000030558,-0.4945846172479128
-3.0,-1.8000000006743975,-7.667561540084395,-0.00482155493956811,-0.03500000000030558,-0.4940696035106742
-3.0,-1.600000000261,-7.667561540084395,-0.004869132122347628,-0.040000000000305576,-0.4952791781857622
-3.0,-1.3999999995129109,-7.667561540084395,-0.004928478844564006,-0.05500000000030557,-0.49455819679231205
-3.0,-1.200000000330522,-7.667561540084395,-0.005002360421558787,-0.07000000000030558,-0.49452678930514177
-3.0,-1.0,-7.667561540084395,-0.0050941240828252755,-0.08500000000030558,-0.4953161523663492
-3.0,-0.8000000001263549,-7.667561540084395,-0.005207793878271053,-0.1100000000003056,-0.49456065741257144
-3.0,-0.5999999999152085,-7.667561540084395,-0.00534817253707155,-0.14000000000030566,-0.4936652857606023
-3.0,-0.3999999999492702,-7.667561540084395,-0.005520950207403626,-0.17000000000030566,-0.4940287558229346
-3.0,-0.19999999998636683,-7.667561540084395,-0.0057328222126646535,-0.2150000000003057,-0.49204545975362235
-3.0,0.0,-7.667561540084395,-0.005991622338839451,-0.2650000000003057,-0.49033590683839234
-3.0,0.20000000001065574,-7.667561540084395,-0.0063064847463718075,-0.32500000000030577,-0.4877567000071532
-3.0,1.0,-7.667561540084395,-0.00836906094364695,-0.695000000000306,-0.4630116839655148
-3.0,2.0,-7.667561540084395,-0.014246438978176275,-1.575000000000294,-0.38839867596847927
-3.0,3.0,-7.667561540084395,-0.02803555083074144,-3.0500000000002627,-0.30515795624419734
-3.0,4.0,-7.667561540084395,-0.05787656526759176,-5.06000000000022,-0.23692663031722078
-3.0,5.0,-7.667561540084395,-0.11213446857071306,-7.500000000000168,-0.1688584314213007
-3.0,6.0,-7.667561540084395,-0.1701023772933062,-9.480000000000391,-0.13439556697711916
-3.0,1.1999999999996949,-7.667561540084395,-0.009166754488181186,-0.8300000000003062,-0.4515099330675017
-3.0,2.199999999999969,-7.667561540084395,-0.01617466165891953,-1.8250000000002888,-0.3697082213352475
-3.0,3.199999999999996,-7.667561540084395,-0.0323724617193165,-3.410000000000255,-0.2914769123647316
-3.0,4.199999999999999,-7.667561540084395,-0.06677126761366446,-5.52500000000021,-0.22251423267206447
-3.0,5.2,-7.667561540084395,-0.124771758026126,-7.975000000000158,-0.15864532474227372
-3.0,0.3999999999983436,-7.667561540084395,-0.006688055905980542,-0.3950000000003058,-0.4843814463823466
-3.0,1.4000000000000725,-7.667561540084395,-0.01012124581635651,-0.9800000000003064,-0.43883282151948994
-3.0,2.4000000000000727,-7.667561540084395,-0.018458548124181857,-2.095000000000283,-0.35218889429938866
-3.0,3.4000000000000035,-7.667561540084395,-0.03742373895835477,-3.7950000000002473,-0.2777952015303035
-3.0,4.4,-7.667561540084395,-0.07677274049678108,-6.0100000000002005,-0.2079547734692122
-3.0,5.4,-7.667561540084395,-0.13721159114925333,-8.415000000000223,-0.15032268375545813
-3.0,0.5999999999961848,-7.667561540084395,-0.007148785307706842,-0.4800000000003059,-0.4790617685930161
-3.0,1.5999999999994576,-7.667561540084395,-0.01126207421178098,-1.155000000000303,-0.42339237125752954
-3.0,2.600000000000003,-7.667561540084395,-0.021153754520994397,-2.390000000000277,-0.3354639231133732
-3.0,3.600000000000003,-7.667561540084395,-0.04328891780298532,-4.195000000000238,-0.26454741113518876
-3.0,4.6000000000000005,-7.667561540084395,-0.08780713747060613,-6.505000000000188,-0.1939328722651498
-3.0,5.6000000000000005,-7.667561540084395,-0.14909147340490267,-8.815000000000285,-0.1436570623125164
